"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"J. Collins","22","4","6","1","1","5","6","4","5","9","1","2","1","4","4","-4","14","F","Played",TRUE,"3908845","john-collins","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"D. Hunter","26","5","10","2","5","6","8","1","2","3","0","0","1","1","3","-9","18","F","Played",TRUE,"4065732","deandre-hunter","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Capela","20","4","6","0","0","0","1","5","9","14","0","0","0","2","0","-5","8","C","Played",TRUE,"3102529","clint-capela","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T. Young","22","2","9","0","2","3","4","1","1","2","6","1","0","6","2","-10","7","G","Played",TRUE,"4277905","trae-young","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"B. Bogdanovic","23","3","10","1","5","2","2","1","3","4","2","1","0","1","0","10","9","G","Played",TRUE,"3037789","bogdan-bogdanovic","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"D. Gallinari","20","3","7","1","5","7","8","0","4","4","0","1","1","0","2","14","14","F","Played",TRUE,"3428","danilo-gallinari","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"N. Knight","6","0","1","0","0","0","0","1","2","3","0","0","0","0","2","0","0","F","Played",TRUE,"4067325","nathan-knight","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"B. Fernando","17","2","7","0","0","4","4","2","7","9","0","0","0","0","4","-10","8","F","Played",TRUE,"4277952","bruno-fernando","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"S. Hill","15","1","2","1","2","0","0","0","1","1","1","1","0","0","2","-3","3","F","Played",TRUE,"2488958","solomon-hill","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"B. Goodwin","18","3","10","1","3","0","0","1","1","2","3","0","0","2","1","-4","7","G","Played",TRUE,"3057198","brandon-goodwin","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"S. Mays","6","0","3","0","1","3","4","1","0","1","1","0","0","0","1","-2","3","G","Played",TRUE,"4066269","skylar-mays","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Huerter","21","3","11","2","5","0","0","1","0","1","3","1","1","1","2","5","8","G","Played",TRUE,"4066372","kevin-huerter","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Reddish","23","4","10","1","3","4","4","1","7","8","3","1","0","6","2","-2","13","G","Played",TRUE,"4395627","cam-reddish","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"O. Okongwu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-LEFT FOOT",FALSE,"4431680","onyeka-okongwu","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"R. Rondo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-SORE RIGHT KNEE",FALSE,"3026","rajon-rondo","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Dunn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-RIGHT KNEE INJURY",FALSE,"2991139","kris-dunn","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T. Snell","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-RIGHT FOOT",FALSE,"2528353","tony-snell","ATL","ORL","401265784",2020-12-11,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"A. Gordon","16","4","7","1","2","3","3","1","2","3","6","0","0","0","0","11","12","F","Played",TRUE,"3064290","aaron-gordon","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Bacon","22","6","9","1","3","1","1","0","2","2","1","2","0","1","1","6","14","F","Played",TRUE,"3907821","dwayne-bacon","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"N. Vucevic","25","8","14","2","7","0","1","1","10","11","4","1","1","1","2","25","18","C","Played",TRUE,"6478","nikola-vucevic","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Fultz","25","4","7","1","3","1","2","0","3","3","4","1","0","4","3","21","10","G","Played",TRUE,"4066636","markelle-fultz","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"E. Fournier","25","5","9","2","5","1","1","0","1","1","2","2","1","1","2","22","13","G","Played",TRUE,"6588","evan-fournier","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"C. Okeke","14","3","8","2","5","1","2","1","2","3","1","0","1","1","3","-8","9","F","Played",TRUE,"4278052","chuma-okeke","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"R. Franks","8","0","2","0","2","5","8","0","0","0","0","1","0","0","3","2","5","F","Played",TRUE,"3922235","robert-franks","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"G. Clark","18","0","2","0","2","2","2","0","3","3","0","0","1","1","2","1","2","F","Played",TRUE,"3132042","gary-clark","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"K. Birch","18","3","4","0","0","2","3","3","5","8","0","1","1","2","3","-23","8","C","Played",TRUE,"2578240","khem-birch","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"J. Teske","5","0","0","0","0","0","0","2","2","4","0","0","0","0","1","2","0","C","Played",TRUE,"4066378","jon-teske","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Carter-Williams","25","4","13","0","4","2","4","2","3","5","3","0","2","1","2","-12","10","G","Played",TRUE,"2596108","michael-carter-williams","ORL","ATL","401265784",2020-12-11,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
