"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team"
"110","kobe-bryant","Kobe Bryant","SF","LAL","los-angeles-lakers","Los Angeles Lakers","25000000",2020,NA,NA,NA,NA,NA,1996,1,13,"CHA"
"1966","lebron-james","LeBron James","SF","CLE","cleveland-cavaliers","Cleveland Cavaliers","22970500",2020,6.75,6,9,250,1984-12-30,2003,1,1,"CLE"
"1975","carmelo-anthony","Carmelo Anthony","PF","NY","new-york-knicks","New York Knicks","22875000",2020,6.58333333333333,6,7,238,1984-05-29,2003,1,3,"DEN"
"2384","dwight-howard","Dwight Howard","C","HOU","houston-rockets","Houston Rockets","22359364",2020,6.83333333333333,6,10,260,1985-12-08,2004,1,1,"ORL"
"1977","chris-bosh","Chris Bosh","PF","MIA","miami-heat","Miami Heat","22192730",2020,NA,NA,NA,NA,NA,2003,1,4,"TOR"
"2779","chris-paul","Chris Paul","PG","LAC","la-clippers","LA Clippers","21468695",2020,6,6,0,175,1985-05-06,2005,1,4,"NO"
"3202","kevin-durant","Kevin Durant","PF","OKC","oklahoma-city-thunder","Oklahoma City Thunder","20158622",2020,6.83333333333333,6,10,225,1988-09-29,2007,1,2,"SEA"
"3456","derrick-rose","Derrick Rose","PG","CHI","chicago-bulls","Chicago Bulls","20093064",2020,6.16666666666667,6,2,200,1988-10-04,2008,1,1,"CHI"
"1987","dwyane-wade","Dwyane Wade","G","MIA","miami-heat","Miami Heat","20000000",2020,NA,NA,NA,NA,NA,2003,1,5,"MIA"
"2983","lamarcus-aldridge","LaMarcus Aldridge","C","SA","san-antonio-spurs","San Antonio Spurs","19689000",2020,6.91666666666667,6,11,265,1985-07-19,2006,1,2,"CHI"
"3442","deandre-jordan","DeAndre Jordan","C","LAC","la-clippers","LA Clippers","19689000",2020,6.91666666666667,6,11,265,1988-07-21,2008,2,35,"LAC"
"3448","brook-lopez","Brook Lopez","C","BKN","brooklyn-nets","Brooklyn Nets","19689000",2020,7,7,0,282,1988-04-01,2008,1,10,"NJ"
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","19689000",2020,6.66666666666667,6,8,247,1988-09-07,2008,1,5,"MEM"
"3206","marc-gasol","Marc Gasol","C","MEM","memphis-grizzlies","Memphis Grizzlies","19688000",2020,6.91666666666667,6,11,255,1985-01-29,2007,2,48,"LAL"
"3989","blake-griffin","Blake Griffin","PF","LAC","la-clippers","LA Clippers","18907726",2020,6.75,6,9,250,1989-03-16,2009,1,1,"LAC"
"3015","paul-millsap","Paul Millsap","PF","ATL","atlanta-hawks","Atlanta Hawks","18671659",2020,6.58333333333333,6,7,257,1985-02-10,2006,2,47,"UTAH"
"4251","paul-george","Paul George","SG","IND","indiana-pacers","Indiana Pacers","17120106",2020,6.66666666666667,6,8,220,1990-05-02,2010,1,10,"IND"
"3468","russell-westbrook","Russell Westbrook","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","16744218",2020,6.25,6,3,200,1988-11-12,2008,1,4,"SEA"
"6442","kyrie-irving","Kyrie Irving","PG","CLE","cleveland-cavaliers","Cleveland Cavaliers","16407501",2020,6.16666666666667,6,2,199,1992-03-23,2011,1,1,"CLE"
"6447","enes-kanter","Enes Kanter","C","OKC","oklahoma-city-thunder","Oklahoma City Thunder","16407500",2020,6.83333333333333,6,10,250,1992-05-20,2011,1,3,"UTAH"
"4260","greg-monroe","Greg Monroe","C","MIL","milwaukee-bucks","Milwaukee Bucks","16407500",2020,NA,NA,NA,NA,NA,2010,1,7,"DET"
"6430","jimmy-butler","Jimmy Butler","SF","CHI","chicago-bulls","Chicago Bulls","16407500",2020,6.58333333333333,6,7,230,1989-09-14,2011,1,30,"CHI"
"4032","wesley-matthews","Wesley Matthews","SG","DAL","dallas-mavericks","Dallas Mavericks","16407500",2020,6.33333333333333,6,4,221,1986-10-14,NA,NA,NA,NA
"6450","kawhi-leonard","Kawhi Leonard","SF","SA","san-antonio-spurs","San Antonio Spurs","16407500",2020,6.58333333333333,6,7,225,1991-06-29,2011,1,15,"IND"
"6440","tobias-harris","Tobias Harris","PF","ORL","orlando-magic","Orlando Magic","16000000",2020,6.66666666666667,6,8,228,1992-07-15,2011,1,19,"CHA"
"4258","demarcus-cousins","DeMarcus Cousins","C","SAC","sacramento-kings","Sacramento Kings","15851950",2020,6.83333333333333,6,10,270,1990-08-13,2010,1,5,"SAC"
"4237","john-wall","John Wall","PG","WSH","washington-wizards","Washington Wizards","15851950",2020,6.25,6,3,210,1990-09-06,2010,1,1,"WSH"
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","15756438",2020,6.41666666666667,6,5,220,1989-08-26,2009,1,3,"OKC"
"3436","roy-hibbert","Roy Hibbert","C","LAL","los-angeles-lakers","Los Angeles Lakers","15592217",2020,NA,NA,NA,NA,NA,2008,1,17,"TOR"
"3431","eric-gordon","Eric Gordon","SG","NO","new-orleans-pelicans","New Orleans Pelicans","15514031",2020,6.25,6,3,215,1988-12-25,2008,1,7,"LAC"
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","15501000",2020,6.5,6,6,215,1990-02-08,2011,1,11,"GS"
