"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","40231758",2020
"3468","russell-westbrook","Russell Westbrook","PG","HOU","houston-rockets","Houston Rockets","38506482",2020
"2779","chris-paul","Chris Paul","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","38506482",2020
"3202","kevin-durant","Kevin Durant","SF","BKN","brooklyn-nets","Brooklyn Nets","38199000",2020
"4237","john-wall","John Wall","PG","HOU","houston-rockets","Houston Rockets","38199000",2020
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","38199000",2020
"1966","lebron-james","LeBron James","SF","LAL","los-angeles-lakers","Los Angeles Lakers","37436858",2020
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","34996296",2020
"3989","blake-griffin","Blake Griffin","PF","DET","detroit-pistons","Detroit Pistons","34449964",2020
"6440","tobias-harris","Tobias Harris","SF","PHI","philadelphia-76ers","Philadelphia 76ers","32742000",2020
"6430","jimmy-butler","Jimmy Butler","SF","MIA","miami-heat","Miami Heat","32742000",2020
"6450","kawhi-leonard","Kawhi Leonard","SF","LAC","la-clippers","LA Clippers","32742000",2020
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","32742000",2020
"6479","kemba-walker","Kemba Walker","PG","BOS","boston-celtics","Boston Celtics","32742000",2020
"4249","gordon-hayward","Gordon Hayward","SF","BOS","boston-celtics","Boston Celtics","32700690",2020
"3195","mike-conley","Mike Conley","PG","UTAH","utah-jazz","Utah Jazz","32511624",2020
"6442","kyrie-irving","Kyrie Irving","PG","BKN","brooklyn-nets","Brooklyn Nets","31742000",2020
"6609","khris-middleton","Khris Middleton","SF","MIL","milwaukee-bucks","Milwaukee Bucks","30603448",2020
"4251","paul-george","Paul George","SG","LAC","la-clippers","LA Clippers","30560700",2020
"3015","paul-millsap","Paul Millsap","PF","DEN","denver-nuggets","Denver Nuggets","30350000",2020
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","29802321",2020
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","28942830",2020
"3213","al-horford","Al Horford","PF","PHI","philadelphia-76ers","Philadelphia 76ers","28000000",2020
"6478","nikola-vucevic","Nikola Vucevic","C","ORL","orlando-magic","Orlando Magic","28000000",2020
"3978","demar-derozan","DeMar DeRozan","SG","SA","san-antonio-spurs","San Antonio Spurs","27739975",2020
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","27556959",2020
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","27504630",2020
"3059319","andrew-wiggins","Andrew Wiggins","SF","MIN","minnesota-timberwolves","Minnesota Timberwolves","27504630",2020
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","Denver Nuggets","27504630",2020
"3136193","devin-booker","Devin Booker","SG","PHX","phoenix-suns","Phoenix Suns","27285000",2020
"3136776","d'angelo-russell","D'Angelo Russell","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","27285000",2020
"3136195","karl-anthony-towns","Karl-Anthony Towns","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","27285000",2020
"3102531","kristaps-porzingis","Kristaps Porzingis","PF","DAL","dallas-mavericks","Dallas Mavericks","27285000",2020
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","CHI","chicago-bulls","Chicago Bulls","27250575",2020
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","27093019",2020
"6585","andre-drummond","Andre Drummond","C","DET","detroit-pistons","Detroit Pistons","27093019",2020
"6583","anthony-davis","Anthony Davis","PF","LAL","los-angeles-lakers","Los Angeles Lakers","27093018",2020
"4262","hassan-whiteside","Hassan Whiteside","C","POR","portland-trail-blazers","Portland Trail Blazers","27093017",2020
"3995","jrue-holiday","Jrue Holiday","SG","NO","new-orleans-pelicans","New Orleans Pelicans","26231111",2020
"2983","lamarcus-aldridge","LaMarcus Aldridge","PF","SA","san-antonio-spurs","San Antonio Spurs","26000000",2020
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","PF","MIL","milwaukee-bucks","Milwaukee Bucks","25842697",2020
"2991235","steven-adams","Steven Adams","C","OKC","oklahoma-city-thunder","Oklahoma City Thunder","25842697",2020
"3206","marc-gasol","Marc Gasol","C","TOR","toronto-raptors","Toronto Raptors","25595700",2020
"3416","nicolas-batum","Nicolas Batum","SF","CHA","charlotte-hornets","Charlotte Hornets","25565217",2020
"6466","chandler-parsons","Chandler Parsons","SF","ATL","atlanta-hawks","Atlanta Hawks","25102511",2020
"6578","harrison-barnes","Harrison Barnes","SF","SAC","sacramento-kings","Sacramento Kings","24147727",2020
"3439","serge-ibaka","Serge Ibaka","C","TOR","toronto-raptors","Toronto Raptors","23271604",2020
"3032976","rudy-gobert","Rudy Gobert","C","UTAH","utah-jazz","Utah Jazz","23241573",2020
"3428","danilo-gallinari","Danilo Gallinari","PF","OKC","oklahoma-city-thunder","Oklahoma City Thunder","22615559",2020
"2527963","victor-oladipo","Victor Oladipo","SG","IND","indiana-pacers","Indiana Pacers","21000000",2020
"2528210","tim-hardaway-jr.","Tim Hardaway Jr.","SG","DAL","dallas-mavericks","Dallas Mavericks","20025127",2020
"2566769","malcolm-brogdon","Malcolm Brogdon","PG","IND","indiana-pacers","Indiana Pacers","20000000",2020
"3074752","terry-rozier","Terry Rozier","PG","CHA","charlotte-hornets","Charlotte Hornets","19894737",2020
"3064290","aaron-gordon","Aaron Gordon","PF","ORL","orlando-magic","Orlando Magic","19863636",2020
"3064440","zach-lavine","Zach LaVine","SG","CHI","chicago-bulls","Chicago Bulls","19500000",2020
"6637","kent-bazemore","Kent Bazemore","SG","SAC","sacramento-kings","Sacramento Kings","19269662",2020
"3423","goran-dragic","Goran Dragic","PG","MIA","miami-heat","Miami Heat","19217900",2020
"4015","jeff-teague","Jeff Teague","PG","MIN","minnesota-timberwolves","Minnesota Timberwolves","19000000",2020
"4239","evan-turner","Evan Turner","G","ATL","atlanta-hawks","Atlanta Hawks","18606556",2020
"6589","draymond-green","Draymond Green","PF","GS","golden-state-warriors","Golden State Warriors","18539130",2020
"6474","tristan-thompson","Tristan Thompson","C","CLE","cleveland-cavaliers","Cleveland Cavaliers","18539130",2020
"2531210","allen-crabbe","Allen Crabbe","G","MIN","minnesota-timberwolves","Minnesota Timberwolves","18500000",2020
"3064514","julius-randle","Julius Randle","PF","NY","new-york-knicks","New York Knicks","18000000",2020
"3133628","myles-turner","Myles Turner","C","IND","indiana-pacers","Indiana Pacers","18000000",2020
"2999547","gary-harris","Gary Harris","SG","DEN","denver-nuggets","Denver Nuggets","17839286",2020
"4257","derrick-favors","Derrick Favors","C","NO","new-orleans-pelicans","New Orleans Pelicans","17650000",2020
"2386","andre-iguodala","Andre Iguodala","SG","MIA","miami-heat","Miami Heat","17185185",2020
"6588","evan-fournier","Evan Fournier","SG","ORL","orlando-magic","Orlando Magic","17150000",2020
"6427","bismack-biyombo","Bismack Biyombo","C","CHA","charlotte-hornets","Charlotte Hornets","17000000",2020
"3593","bojan-bogdanovic","Bojan Bogdanovic","SF","UTAH","utah-jazz","Utah Jazz","17000000",2020
"4298","timofey-mozgov","Timofey Mozgov","C","ORL","orlando-magic","Orlando Magic","16720000",2020
"2534781","gorgui-dieng","Gorgui Dieng","C","MEM","memphis-grizzlies","Memphis Grizzlies","16229213",2020
"4011","ricky-rubio","Ricky Rubio","PG","PHX","phoenix-suns","Phoenix Suns","16200000",2020
"6477","jonas-valanciunas","Jonas Valanciunas","C","MEM","memphis-grizzlies","Memphis Grizzlies","16000000",2020
"6448","brandon-knight","Brandon Knight","G","DET","detroit-pistons","Detroit Pistons","15643750",2020
"3133603","kelly-oubre-jr.","Kelly Oubre Jr.","SF","PHX","phoenix-suns","Phoenix Suns","15625000",2020
"4238","eric-bledsoe","Eric Bledsoe","PG","MIL","milwaukee-bucks","Milwaukee Bucks","15625000",2020
"3032979","dennis-schroder","Dennis Schroder","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","15500000",2020
"2774","ian-mahinmi","Ian Mahinmi","C","WSH","washington-wizards","Washington Wizards","15450051",2020
"3999","james-johnson","James Johnson","PF","MIN","minnesota-timberwolves","Minnesota Timberwolves","15349400",2020
"3064482","bobby-portis","Bobby Portis","PF","NY","new-york-knicks","New York Knicks","15000000",2020
"6462","marcus-morris-sr.","Marcus Morris Sr.","SF","NY","new-york-knicks","New York Knicks","15000000",2020
"3102529","clint-capela","Clint Capela","C","HOU","houston-rockets","Houston Rockets","14896552",2020
"4250","luke-babbitt","Luke Babbitt","F","MIA","miami-heat","Miami Heat","14651700",2020
"3988","danny-green","Danny Green","SG","LAL","los-angeles-lakers","Los Angeles Lakers","14634146",2020
"3005","rudy-gay","Rudy Gay","SF","SA","san-antonio-spurs","San Antonio Spurs","14500000",2020
"2579258","cody-zeller","Cody Zeller","PF","CHA","charlotte-hornets","Charlotte Hornets","14471910",2020
"3431","eric-gordon","Eric Gordon","SG","HOU","houston-rockets","Houston Rockets","14057730",2020
"2488653","mason-plumlee","Mason Plumlee","PF","DEN","denver-nuggets","Denver Nuggets","14041096",2020
"2758","marcin-gortat","Marcin Gortat","C","LAC","la-clippers","LA Clippers","13565218",2020
"3024","jj-redick","JJ Redick","SG","NO","new-orleans-pelicans","New Orleans Pelicans","13486300",2020
"2528426","jordan-clarkson","Jordan Clarkson","PG","UTAH","utah-jazz","Utah Jazz","13437500",2020
"2580913","dewayne-dedmon","Dewayne Dedmon","C","SAC","sacramento-kings","Sacramento Kings","13333333",2020
"3102530","jusuf-nurkic","Jusuf Nurkic","C","POR","portland-trail-blazers","Portland Trail Blazers","13125000",2020
"3135047","justise-winslow","Justise Winslow","SF","MIA","miami-heat","Miami Heat","13000000",2020
"3244","thaddeus-young","Thaddeus Young","PF","CHI","chicago-bulls","Chicago Bulls","12900000",2020
"6579","will-barton","Will Barton","SF","DEN","denver-nuggets","Denver Nuggets","12776786",2020
"3445","courtney-lee","Courtney Lee","SG","DAL","dallas-mavericks","Dallas Mavericks","12759670",2020
"2488958","solomon-hill","Solomon Hill","SF","MEM","memphis-grizzlies","Memphis Grizzlies","12758781",2020
"2580365","larry-nance-jr.","Larry Nance Jr.","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","12727273",2020
"2489663","kelly-olynyk","Kelly Olynyk","PF","MIA","miami-heat","Miami Heat","12667885",2020
"2990992","marcus-smart","Marcus Smart","PG","BOS","boston-celtics","Boston Celtics","12553571",2020
"6616","miles-plumlee","Miles Plumlee","C","MEM","memphis-grizzlies","Memphis Grizzlies","12500000",2020
"6619","terrence-ross","Terrence Ross","SG","ORL","orlando-magic","Orlando Magic","12500000",2020
"6459","nikola-mirotic","Nikola Mirotic","F","MIL","milwaukee-bucks","Milwaukee Bucks","12500000",2020
"4004","patty-mills","Patty Mills","PG","SA","san-antonio-spurs","San Antonio Spurs","12428571",2020
"3983","tyreke-evans","Tyreke Evans","G","IND","indiana-pacers","Indiana Pacers","12400000",2020
"3964","patrick-beverley","Patrick Beverley","PG","LAC","la-clippers","LA Clippers","12345680",2020
"2426","trevor-ariza","Trevor Ariza","SF","SAC","sacramento-kings","Sacramento Kings","12195122",2020
